person,state,district,vote,name,party
400186,OR,5,Not Voting,"Rep. Darlene Hooley [D, 1997-2008]",Democrat
400187,IN,8,Present,"Rep. John Hostettler [R, 1995-2006]",Republican
400189,MD,5,Present,"Rep. Steny Hoyer [D, 1981-2018]",Democrat
400190,MO,9,Present,"Rep. Kenny Hulshof [R, 1997-2008]",Republican
400191,CA,52,Not Voting,"Rep. Duncan Hunter [R, 1993-2008]",Republican
400192,IL,6,Not Voting,"Rep. Henry Hyde [R, 1975-2006]",Republican
400193,WA,1,Present,"Rep. Jay Inslee [D, 1999-2012]",Democrat
400195,NY,2,Present,"Rep. Steve Israel [D, 2001-2012]",Democrat
400196,CA,49,Present,"Rep. Darrell Issa [R, 2003-2018]",Republican
400197,OK,5,Not Voting,"Rep. Ernest Istook Jr. [R, 1993-2006]",Republican
400198,IL,2,Present,"Rep. Jesse Jackson Jr. [D, 1995-2012]",Democrat
400199,TX,18,Present,"Rep. Sheila Jackson Lee [D, 1995-2018]",Democrat
400201,LA,2,Present,"Rep. William Jefferson [D, 1991-2008]",Democrat
400202,TN,1,Present,"Rep. William “Bill” Jenkins [R, 1997-2006]",Republican
400204,TX,30,Present,"Rep. Eddie Johnson [D, 1993-2018]",Democrat
400205,CT,5,Present,"Rep. Nancy Johnson [R, 2003-2006]",Republican
400206,TX,3,Not Voting,"Rep. Sam Johnson [R, 1991-2018]",Republican
400207,IL,15,Present,"Rep. Timothy Johnson [R, 2001-2012]",Republican
400208,OH,11,Present,"Rep. Stephanie Jones [D, 1999-2008]",Democrat
400209,NC,3,Present,"Rep. Walter Jones Jr. [R, 1995-2018]",Republican
400210,PA,11,Present,"Rep. Paul Kanjorski [D, 1985-2010]",Democrat
400211,OH,9,Present,"Rep. Marcy Kaptur [D, 1983-2018]",Democrat
